isolate_code,species,region,site,environment,sampling_source,esbl,AM,AMC,AMI,AMO,AMP,AN,C,CF,CFA,CFO,CFP,CFT,CFV,CFX,CFZ,CHL,CN,CPD,CPT,CTF,CTX,CZA,DO,DOX,ENR,FT,GEN,GM,IME,IPM,MAR,MRB,N,NAL,NEO,NIT,NLA,PRA,SXT,TE,TET
EC_OLDWR3C1,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_OLDWR3C2,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_OLDWR3C4,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_OLDWR3C7,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_OLDWR3C17,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
SALOLDWR2C2,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,R,
SALOLDWR2C3,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,R,
SALOLDWR3C1,Salmonella Group,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,,R,S,,,,R,S,S,,S,,S,,,,,R,S,S,,S,S,S,,S,S,,R,,S,,S,S,,,,,S,S,S,
SALOLDWR3C7,Salmonella Group,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,,S,S,,,,R,S,R,,S,,S,,,,,R,S,S,,S,S,S,,S,S,,R,,S,,S,S,,,,,S,S,S,
EC_OLRWR1C2,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_OLRWR1C4,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,R,,S,S,,S,,S,,S,S,,,,,S,S,R,
EC_OLRWR2C6,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_OLRWR2C7,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_OLRWR3C3,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
SALOLRWR1C2,Salmonella Group,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,,S,S,,,,R,S,R,,S,,S,,,,,R,S,S,,S,S,S,,S,S,,R,,S,,S,S,,,,,S,S,S,
SALOLRWR2C1,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,R,
SALOLRWR2C2,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,R,
EC_OLFBR1C1,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_OLFBR1C2,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,R,S,,,,S,R,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,R,
EC_OLFBR1C4,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
